pond_id,treatment,period,doy,GPP,R,NEP,dosat_dailyavg
F,reference,PULSE1,181,5.928796759,-6.978161094,-1.049364335,115.2966895
A,pulsed,PULSE1,182,NA,NA,NA,18.133713291666666
B,pulsed,PULSE1,182,NA,NA,NA,49.595025
C,pulsed,PULSE1,182,0.053231354,-0.455138248,-0.401906894,130.77481758333334
D,reference,PULSE1,182,2.384216892,-0.943049918,1.441166974,90.96164745833333
E,reference,PULSE1,182,9.479247501,-9.893798526,-0.414551025,145.2407205
F,reference,PULSE1,182,3.391995486,-2.989668445,0.402327041,120.15149272916666
A,pulsed,PULSE1,183,2.450659892,-7.805686239,-5.355026347,16.701309604166667
B,pulsed,PULSE1,183,3.628261928,-6.477492479,-2.8492305509999998,43.38417327083333
C,pulsed,PULSE1,183,4.792687409,-5.400830785,-0.608143376,129.7378153125
D,reference,PULSE1,183,11.4346307,-16.83102895,-5.396398259,65.48873775
E,reference,PULSE1,183,6.607523514,-9.372449018,-2.764925504,107.65229843750001
F,reference,PULSE1,183,6.667684296,-1.860332996,4.8073513,100.63075827083334
A,pulsed,PULSE1,184,0.874916109,-4.512519666,-3.637603558,10.837421083333334
B,pulsed,PULSE1,184,4.273615005,-4.086410717,0.187204288,57.2980875
C,pulsed,PULSE1,184,7.099209479,-2.629931936,4.469277543,150.627748
D,reference,PULSE1,184,7.145076493,-10.24916835,-3.104091853,67.53060222916666
E,reference,PULSE1,184,6.424626405,-4.709561153,1.715065252,108.93027520833333
F,reference,PULSE1,184,3.281717758,-4.750053741,-1.468335983,119.88802339583333
A,pulsed,PULSE1,185,0.371657489,-4.180735602,-3.809078113,11.540952208333334
B,pulsed,PULSE1,185,4.728559265,-9.685409775,-4.95685051,42.06883704166667
C,pulsed,PULSE1,185,7.824104208,-6.949772569,0.874331639,168.1758325625
D,reference,PULSE1,185,4.701605068,-7.163013451,-2.461408383,67.53979429166667
E,reference,PULSE1,185,1.547113262,-2.618300594,-1.071187332,123.57312508333334
F,reference,PULSE1,185,8.140661558,-6.749366454,1.391295104,119.3297589375
A,pulsed,PULSE1,186,0.920169744,-5.665874678,-4.745704934,6.849360145833333
B,pulsed,PULSE1,186,6.683079303,-10.2692012,-3.586121895,46.83776575
C,pulsed,PULSE1,186,5.131280691,-4.616476633,0.514804059,170.95152283333334
D,reference,PULSE1,186,7.012413239,-12.21146936,-5.199056121,60.43692204166667
E,reference,PULSE1,186,9.956445636,-10.95637248,-0.999926842,111.59097270833334
F,reference,PULSE1,186,4.893712141,-4.492959054,0.400753088,127.37063470833334
A,pulsed,PULSE1,187,3.670528577,-6.794116214,-3.123587636,12.351430166666667
B,pulsed,PULSE1,187,15.5702454,-15.25294104,0.317304358,63.652177458333334
C,pulsed,PULSE1,187,5.419122238,-6.002047339,-0.582925102,157.17608547916666
D,reference,PULSE1,187,11.66454371,-15.4978462,-3.833302494,61.38611514583334
E,reference,PULSE1,187,7.630414619,-6.489596225,1.140818394,119.4804304375
F,reference,PULSE1,187,7.467891199,-7.355347364,0.112543835,131.20996239583334
