pond_id,doy,GPP,R,NEP
D,150,3.734796587,0.109815501,3.844612088
D,151,3.446563384,-0.98591114,2.460652245
D,152,0.808678771,-1.263906575,-0.455227804
D,153,11.73389992,-2.13020665,9.603693266
D,154,6.135104855,3.239226261,9.374331117
D,155,5.491363027,-6.295587381,-0.804224354
D,156,2.539455713,1.146283285,3.685738998
D,157,-3.190800993,5.352932678,2.162131685
D,158,-1.076707138,2.325737538,1.249030399
D,159,7.046582984,-5.236803833,1.809779151
D,160,5.208202329,-2.3269102,2.881292128
D,161,8.12542412,-11.00733747,-2.881913346
D,162,10.15544222,-7.75377487,2.401667351
D,163,3.541848343,0.825529695,4.367378037
D,165,3.027851803,2.991311727,6.01916353
D,166,14.96670317,-17.50883477,-2.542131605
D,167,9.0017486,-10.89185352,-1.890104925
D,168,5.311423482,-3.297032166,2.014391316
D,169,8.649035718,-8.27625871,0.372777007
D,170,12.34640988,-16.63448363,-4.288073759
D,171,-2.313400967,5.334049545,3.020648578
D,172,5.528137498,-9.916120431,-4.387982932
D,173,-1.668890528,0.391487313,-1.277403215
D,174,5.377569925,-8.850657327,-3.473087402
D,175,15.16641874,-16.48351659,-1.317097853
D,176,12.66871592,-16.53293866,-3.864222736
D,177,6.110730024,-5.241276611,0.869453413
D,178,4.60049875,-7.888501196,-3.288002446
D,179,3.744796892,-4.453844899,-0.709048007
D,180,6.484887145,-3.388018212,3.096868933
D,181,9.638526447,-15.80605741,-6.16753096
D,182,2.384216892,-0.943049918,1.441166974
D,183,11.4346307,-16.83102895,-5.396398259
D,184,7.145076493,-10.24916835,-3.104091853
D,185,4.701605068,-7.163013451,-2.461408383
D,186,7.012413239,-12.21146936,-5.199056121
D,187,11.66454371,-15.4978462,-3.833302494
D,188,12.1745141,-15.85170478,-3.677190682
D,189,6.506800875,-8.898722323,-2.391921448
D,190,9.718953904,-11.37786331,-1.658909406
D,191,11.59406843,-16.68901649,-5.094948061
D,192,7.442712061,-11.2441782,-3.801466136
D,193,2.591581853,-4.888466711,-2.296884859
D,194,4.020647753,-7.779309719,-3.758661966
D,195,5.177034883,-4.47428162,0.702753263
D,196,3.509789258,-6.630286103,-3.120496845
D,197,4.35770493,-9.630005733,-5.272300803
D,198,3.332740642,-4.673235401,-1.340494759
D,199,3.793580599,-1.122214995,2.671365604
D,200,4.652910035,-5.248450625,-0.59554059
D,201,6.822403171,-7.45138147,-0.628978299
D,202,6.52194318,-9.748028873,-3.226085693
D,203,4.62859909,-7.013692151,-2.385093061
D,204,6.926167222,-7.557560002,-0.63139278
D,205,4.916161182,-4.162753086,0.753408096
D,206,6.807438388,-8.426976366,-1.619537978
D,207,2.466277414,-5.116009087,-2.649731673
D,208,-0.661252982,-1.036983716,-1.698236698
D,209,6.525463792,-9.734300166,-3.208836374
D,210,4.773972415,-9.169030976,-4.39505856
D,211,1.620907563,-8.171059284,-6.550151721
D,212,0.607127312,-2.551488822,-1.94436151
D,213,5.629821892,-14.06898172,-8.439159823
D,214,2.398127866,-8.018785524,-5.620657658
D,215,-1.215757154,0.18064676,-1.035110394
D,216,3.370803414,-9.225129924,-5.85432651
D,217,-8.352477017,-5.220118524,-13.57259554
D,218,-1.798402539,-8.21668722,-10.01508976
D,219,0.718563028,-3.883375185,-3.164812157
D,220,-0.213147743,-9.621993292,-9.835141035
