pond_id,treatment,period,doy,dosat_dailyavg
F,reference,PULSE1,182,120.1514927
A,pulsed,PULSE1,183,16.7013096
B,pulsed,PULSE1,183,43.38417327
C,pulsed,PULSE1,183,129.7378153
D,reference,PULSE1,183,65.48873775
E,reference,PULSE1,183,107.6522984
F,reference,PULSE1,183,100.6307583
A,pulsed,PULSE1,184,10.83742108
B,pulsed,PULSE1,184,57.2980875
C,pulsed,PULSE1,184,150.627748
D,reference,PULSE1,184,67.53060223
E,reference,PULSE1,184,108.9302752
F,reference,PULSE1,184,119.8880234
A,pulsed,PULSE1,185,11.54095221
B,pulsed,PULSE1,185,42.06883704
C,pulsed,PULSE1,185,168.1758326
D,reference,PULSE1,185,67.53979429
E,reference,PULSE1,185,123.5731251
F,reference,PULSE1,185,119.3297589
A,pulsed,PULSE1,186,6.849360146
B,pulsed,PULSE1,186,46.83776575
C,pulsed,PULSE1,186,170.9515228
D,reference,PULSE1,186,60.43692204
E,reference,PULSE1,186,111.5909727
F,reference,PULSE1,186,127.3706347
A,pulsed,PULSE1,187,12.35143017
B,pulsed,PULSE1,187,63.65217746
C,pulsed,PULSE1,187,157.1760855
D,reference,PULSE1,187,61.38611515
E,reference,PULSE1,187,119.4804304
F,reference,PULSE1,187,131.2099624
A,pulsed,PULSE1,188,9.337439125
B,pulsed,PULSE1,188,45.68742125
C,pulsed,PULSE1,188,110.0539786
D,reference,PULSE1,188,57.73407013
E,reference,PULSE1,188,132.3075003
F,reference,PULSE1,188,130.6441623
A,pulsed,PULSE1,189,7.480390917
B,pulsed,PULSE1,189,47.17907144
C,pulsed,PULSE1,189,125.3617762
D,reference,PULSE1,189,53.43582213
E,reference,PULSE1,189,119.7589688
F,reference,PULSE1,189,126.9357492
A,pulsed,PULSE1,190,5.055370271
B,pulsed,PULSE1,190,40.33834638
C,pulsed,PULSE1,190,118.2080192
D,reference,PULSE1,190,50.79371083
E,reference,PULSE1,190,103.6187213
F,reference,PULSE1,190,114.7739146
A,pulsed,PULSE1,191,6.915126729
B,pulsed,PULSE1,191,35.86631156
C,pulsed,PULSE1,191,89.19266542
D,reference,PULSE1,191,42.49409648
E,reference,PULSE1,191,99.71942873
F,reference,PULSE1,191,82.66263173
A,pulsed,PULSE1,192,14.55468645
B,pulsed,PULSE1,192,38.02202481
C,pulsed,PULSE1,192,66.78739654
D,reference,PULSE1,192,19.87591577
E,reference,PULSE1,192,91.13495906
F,reference,PULSE1,192,89.31642896
A,pulsed,PULSE1,193,21.98432038
B,pulsed,PULSE1,193,45.27158908
C,pulsed,PULSE1,193,81.65615692
D,reference,PULSE1,193,21.93250744
E,reference,PULSE1,193,109.5277683
F,reference,PULSE1,193,92.47107504
A,pulsed,PULSE1,194,15.79427896
B,pulsed,PULSE1,194,44.83932656
C,pulsed,PULSE1,194,82.06746421
D,reference,PULSE1,194,27.45954681
E,reference,PULSE1,194,104.24733
F,reference,PULSE1,194,87.99755498
A,pulsed,PULSE1,195,25.53658494
B,pulsed,PULSE1,195,46.59447519
C,pulsed,PULSE1,195,91.961949
D,reference,PULSE1,195,38.88476544
E,reference,PULSE1,195,97.71445756
F,reference,PULSE1,195,102.7890116
A,pulsed,PULSE1,196,32.03500279
B,pulsed,PULSE1,196,57.33536573
C,pulsed,PULSE1,196,87.30111931
D,reference,PULSE1,196,48.079436
E,reference,PULSE1,196,104.2453102
F,reference,PULSE1,196,85.49461954
A,pulsed,PULSE1,197,16.74434554
B,pulsed,PULSE1,197,46.76649856
C,pulsed,PULSE1,197,65.81802352
D,reference,PULSE1,197,26.20169877
E,reference,PULSE1,197,58.3851764
F,reference,PULSE1,197,62.07865246
A,pulsed,PULSE1,198,30.05110598
B,pulsed,PULSE1,198,45.94662944
C,pulsed,PULSE1,198,50.42682244
D,reference,PULSE1,198,27.19714179
E,reference,PULSE1,198,68.67944808
F,reference,PULSE1,198,63.69641919
A,pulsed,PULSE1,199,56.40632465
B,pulsed,PULSE1,199,60.47335606
C,pulsed,PULSE1,199,72.26439971
D,reference,PULSE1,199,52.03119846
E,reference,PULSE1,199,102.4031957
F,reference,PULSE1,199,89.13478277
A,pulsed,PULSE1,200,74.5387921
B,pulsed,PULSE1,200,69.45673756
C,pulsed,PULSE1,200,92.80341898
D,reference,PULSE1,200,62.18001106
E,reference,PULSE1,200,117.5403324
F,reference,PULSE1,200,101.3611672
A,pulsed,PULSE1,201,69.5442235
B,pulsed,PULSE1,201,62.66196283
C,pulsed,PULSE1,201,90.66008706
D,reference,PULSE1,201,79.17921831
E,reference,PULSE1,201,108.0155243
F,reference,PULSE1,201,92.7790915
A,pulsed,PULSE1,202,46.41927958
B,pulsed,PULSE1,202,45.75374754
C,pulsed,PULSE1,202,63.90031629
D,reference,PULSE1,202,56.75333123
E,reference,PULSE1,202,80.23400808
F,reference,PULSE1,202,73.26053429
A,pulsed,PULSE1,203,31.48919475
B,pulsed,PULSE1,203,39.93982004
C,pulsed,PULSE1,203,47.7197034
D,reference,PULSE1,203,46.93909704
E,reference,PULSE1,203,78.57609194
F,reference,PULSE1,203,64.09744488
A,pulsed,PULSE1,204,46.26415638
B,pulsed,PULSE1,204,37.62701148
C,pulsed,PULSE1,204,41.87980796
D,reference,PULSE1,204,43.94751271
E,reference,PULSE1,204,66.11538692
F,reference,PULSE1,204,73.31999763
A,pulsed,PULSE1,205,48.21964073
B,pulsed,PULSE1,205,39.79687281
C,pulsed,PULSE1,205,46.91161558
D,reference,PULSE1,205,47.95128135
E,reference,PULSE1,205,82.22034804
F,reference,PULSE1,205,74.66340971
A,pulsed,PULSE1,206,48.43331046
B,pulsed,PULSE1,206,46.57291933
C,pulsed,PULSE1,206,42.8992865
D,reference,PULSE1,206,44.16826648
E,reference,PULSE1,206,79.52908363
F,reference,PULSE1,206,89.73544302
A,pulsed,PULSE1,207,62.23343354
B,pulsed,PULSE1,207,59.60459927
C,pulsed,PULSE1,207,55.3061186
D,reference,PULSE1,207,29.84162271
E,reference,PULSE1,207,76.14570475
F,reference,PULSE1,207,98.55710152
A,pulsed,PULSE1,208,33.87034756
B,pulsed,PULSE1,208,49.31465185
C,pulsed,PULSE1,208,43.9192626
D,reference,PULSE1,208,20.16268475
E,reference,PULSE1,208,54.8700251
F,reference,PULSE1,208,75.18279465
