Run,RunDate,sampleID,pondID,doy,TOC_ppb,IC_ppb,flag_IC,TC_ppb
2,1/24/2022 12:28,E20E226,E,226,26300,208,,26500
2,1/24/2022 12:56,E20E229,E,229,22900,200,,23100
2,1/24/2022 13:24,E20E231,E,231,18300,202,,18500
2,1/24/2022 13:53,E20E233,E,233,27600,200,,27800
2,1/24/2022 14:21,E20E236,E,236,21300,202,,21500
2,1/24/2022 14:50,E20E238,E,238,16600,208,,16800
2,1/24/2022 15:18,E20E240,E,240,19500,201,,19700
2,1/24/2022 15:46,BLANK,,,131,83.1,,214
2,1/24/2022 16:15,E20F153,F,153,37600,197,,37800
2,1/24/2022 16:43,E20F155,F,155,8570,1900,a,10500
2,1/24/2022 17:12,E20F157,F,157,6720,1210,a,7930
2,1/24/2022 17:40,E20F160,F,160,29600,292,,29900
2,1/24/2022 18:08,E20F162,F,162,11400,226,,11600
2,1/24/2022 18:37,E20F164,F,164,7250,775,a,8030
2,1/24/2022 19:05,E20F167,F,167,8580,226,,8810
2,1/24/2022 19:33,E20F169,F,169,8410,213,,8620
2,1/24/2022 20:02,E20F171,F,171,9400,217,,9620
2,1/24/2022 20:30,E20F174,F,174,13200,220,,13400
2,1/24/2022 20:58,E20F175,F,175,7730,227,,7960
2,1/24/2022 21:27,E20F176,F,176,15300,202,,15500
2,1/24/2022 21:55,BLANK,,,93.1,96.9,,190
2,1/24/2022 22:23,E20F177,F,177,21600,198,,21800
2,1/24/2022 22:52,E20F178,F,178,24500,201,,24700
2,1/24/2022 23:20,E20F181,F,181,15300,198,,15500
2,1/24/2022 23:49,E20F183,F,183,9970,232,,10200
2,1/25/2022 0:17,E20F185,F,185,13800,202,,14000
2,1/25/2022 0:45,E20F188,F,188,19700,204,,19900
2,1/25/2022 1:14,E20F190,F,190,25500,204,,25700
2,1/25/2022 1:42,E20F192,F,192,17100,200,,17300
2,1/25/2022 2:10,E20F195,F,195,20800,205,,21000
2,1/25/2022 2:39,E20F197,F,197,10800,205,,11000
2,1/25/2022 3:07,E20F199,F,199,27900,197,,28100
2,1/25/2022 3:35,BLANK,,,339,92.6,,432
2,1/25/2022 4:04,E20F202,F,202,18300,207,,18500
2,1/25/2022 4:32,E20F204,F,204,14700,204,,14900
2,1/25/2022 5:01,E20F206,F,206,15100,199,,15300
2,1/25/2022 5:29,E20F209,F,209,23600,204,,23800
2,1/25/2022 5:57,E20F210,F,210,17600,204,,17800
2,1/25/2022 6:26,E20F211,F,211,14100,208,,14300
2,1/25/2022 6:54,E20F212,F,212,25700,207,,25900
2,1/25/2022 7:22,E20F213,F,213,19700,201,,19900
2,1/25/2022 7:51,E20F216,F,216,29600,202,,29800
2,1/25/2022 8:19,E20F218,F,218,17300,206,,17500
