"sample_id","pond_id","doy","vial","lot_number","sample_type","run","start_time","end_time","vial_number","toc_ppb","ic_ppb","tc_ppb","run_date","mean_blank_toc_ppb","mean_blank_ic_ppb","mean_blank_tc_ppb","doc_ppb","dic_ppb","dc_ppb"
"B143","B",143,"B143","E20","Sample",1,2022-01-22 15:55:06,2022-01-22 16:23:24,"54",7550,258,7810,"Jan. 21",170.225,81.95,252.5,7379.775,176.05,7557.5
"B146","B",146,"B146","E20","Sample",1,2022-01-22 16:23:38,2022-01-22 16:51:43,"55",8320,210,8530,"Jan. 21",170.225,81.95,252.5,8149.775,128.05,8277.5
"B148","B",148,"B148","E20","Sample",1,2022-01-22 16:51:57,2022-01-22 17:20:03,"56",7290,209,7500,"Jan. 21",170.225,81.95,252.5,7119.775,127.05,7247.5
"B150","B",150,"B150","E20","Sample",1,2022-01-22 17:20:16,2022-01-22 17:48:21,"57",29100,198,29300,"Jan. 21",170.225,81.95,252.5,28929.775,116.05,29047.5
"B153","B",153,"B153","E20","Sample",1,2022-01-22 17:48:34,2022-01-22 18:16:44,"58",9400,216,9620,"Jan. 21",170.225,81.95,252.5,9229.775,134.05,9367.5
"B155","B",155,"B155","E20","Sample",1,2022-01-22 18:16:58,2022-01-22 18:45:04,"59",10100,208,10300,"Jan. 21",170.225,81.95,252.5,9929.775,126.05,10047.5
"B157","B",157,"B157","E20","Sample",1,2022-01-22 18:45:18,2022-01-22 19:13:24,"60",8830,251,9080,"Jan. 21",170.225,81.95,252.5,8659.775,169.05,8827.5
"B160","B",160,"B160","E20","Sample",1,2022-01-22 19:13:40,2022-01-22 19:41:46,"61",8800,218,9020,"Jan. 21",170.225,81.95,252.5,8629.775,136.05,8767.5
"B162","B",162,"B162","E20","Sample",1,2022-01-22 19:42:00,2022-01-22 20:10:05,"62",9070,250,9320,"Jan. 21",170.225,81.95,252.5,8899.775,168.05,9067.5
"B164","B",164,"B164","E20","Sample",1,2022-01-22 20:10:19,2022-01-22 20:38:24,"63",7900,225,8120,"Jan. 21",170.225,81.95,252.5,7729.775,143.05,7867.5
"B167","B",167,"B167","E20","Sample",1,2022-01-22 20:38:38,2022-01-22 21:06:44,"64",9480,216,9700,"Jan. 21",170.225,81.95,252.5,9309.775,134.05,9447.5
"B169","B",169,"B169","E20","Sample",1,2022-01-22 21:06:57,2022-01-22 21:35:03,"65",9050,221,9270,"Jan. 21",170.225,81.95,252.5,8879.775,139.05,9017.5
"B171","B",171,"B171","E20","Sample",1,2022-01-22 22:03:35,2022-01-22 22:31:53,"67",9000,956,9950,"Jan. 21",170.225,81.95,252.5,8829.775,874.05,9697.5
